Model,Accuracy,Precision,Recall,F1_Score,Latency_ms,Train_Accuracy,Val_Accuracy,Training_Time_s,Model_Size_MB,Fit_Status
DNN,0.9898202295863114,0.9925887754460172,0.9898202295863114,0.9907998054068194,0.16387097113107174,0.9802624583244324,0.9876543283462524,94.37053656578064,0.1686382293701172,Balanced
CNN,0.9891163092917479,0.9915377170651856,0.9891163092917479,0.9900417363687792,0.09859690088871523,0.9868300557136536,0.984622061252594,67.02031397819519,0.5555238723754883,Balanced
LSTM,0.9798570500324886,0.982176267068024,0.9798570500324886,0.9805268337190526,0.3106639786460634,0.9686200022697449,0.9698938727378845,322.0634295940399,0.2762479782104492,Balanced
GRU,0.9891163092917479,0.9921038235849613,0.9891163092917479,0.9902303284336563,0.2759244887633114,0.9898200035095215,0.988304078578949,688.1868748664856,0.23009872436523438,Balanced
