class,precision,recall,f1,support
DOS_SYN_Hping,1.0,1.0,1.0,14199
Thing_Speak,0.9843,0.9285,0.9556,1216
ARP_poisioning,0.9384,0.9304,0.9344,1163
MQTT_Publish,1.0,0.9952,0.9976,622
NMAP_UDP_SCAN,0.9685,0.9486,0.9584,389
NMAP_XMAS_TREE_SCAN,0.9934,0.9934,0.9934,301
NMAP_OS_DETECTION,1.0,0.9133,0.9547,300
NMAP_TCP_scan,0.9091,1.0,0.9524,150
DDOS_Slowloris,0.693,0.9875,0.8144,80
Wipro_bulb,0.5645,0.9211,0.7,38
Metasploit_Brute_Force_SSH,0.3529,1.0,0.5217,6
NMAP_FIN_SCAN,0.1111,1.0,0.2,4
