class,precision,recall,f1,support
DOS_SYN_Hping,1.0,1.0,1.0,14199
Thing_Speak,0.9695,0.9408,0.9549,1216
ARP_poisioning,0.9412,0.9355,0.9383,1163
MQTT_Publish,0.9936,0.9952,0.9944,622
NMAP_UDP_SCAN,1.0,0.9332,0.9654,389
NMAP_XMAS_TREE_SCAN,0.9868,0.9934,0.9901,301
NMAP_OS_DETECTION,0.9772,1.0,0.9885,300
NMAP_TCP_scan,0.9146,1.0,0.9554,150
DDOS_Slowloris,0.7959,0.975,0.8764,80
Wipro_bulb,0.5741,0.8158,0.6739,38
Metasploit_Brute_Force_SSH,0.2941,0.8333,0.4348,6
NMAP_FIN_SCAN,0.0,0.0,0.0,4
