Model,Accuracy,Precision,Recall,F1_Score,Latency_ms,Train_Accuracy,Val_Accuracy,Training_Time_s,Fit_Status
Random Forest,0.9971301711067793,0.9971914822375328,0.9971301711067793,0.9971465610258685,0.020056840323616938,0.99965,0.9968594325319472,5.618950128555298,Balanced
Decision Tree,0.99469352393329,0.9950838272342237,0.99469352393329,0.994816686468181,0.0,1.0,0.9942061944985922,0.26000428199768066,Balanced
XGBoost,0.9898202295863114,0.9917533954015118,0.9898202295863114,0.9904576072274053,0.007580750324727654,0.97905,0.9884665367121508,3.3140809535980225,Balanced
LightGBM,0.9974550573965779,0.9975403313389393,0.9974550573965779,0.9974799687816153,0.04208326752835961,0.9998,0.9968594325319472,4.280626058578491,Balanced
KNN,0.9933398310591293,0.9941155203890515,0.9933398310591293,0.9936161169603139,0.08222656330557285,1.0,0.99317738791423,0.019998788833618164,Balanced
SVM,0.9857050032488629,0.9904040929694907,0.9857050032488629,0.987482107400569,0.9416934600608649,0.96235,0.9851635260991987,5.296374797821045,Balanced
