class,precision,recall,f1,support
DOS_SYN_Hping,1.0,1.0,1.0,14199
Thing_Speak,0.9496,0.9449,0.9472,1216
ARP_poisioning,0.9621,0.896,0.9279,1163
MQTT_Publish,0.9984,0.9952,0.9968,622
NMAP_UDP_SCAN,0.9944,0.9126,0.9517,389
NMAP_XMAS_TREE_SCAN,0.9868,0.9934,0.9901,301
NMAP_OS_DETECTION,0.9852,0.89,0.9352,300
NMAP_TCP_scan,0.9202,1.0,0.9585,150
DDOS_Slowloris,0.7745,0.9875,0.8681,80
Wipro_bulb,0.4167,0.9211,0.5738,38
Metasploit_Brute_Force_SSH,0.2609,1.0,0.4138,6
NMAP_FIN_SCAN,0.0755,1.0,0.1404,4
