Model,Accuracy,Precision,Recall,F1_Score,Latency_ms,Train_Accuracy,Val_Accuracy,Training_Time_s,Model_Size_MB,Fit_Status
DNN,0.9897660818713451,0.9928393460211182,0.9897660818713451,0.9909377636907906,0.07234732258337928,0.9858437180519104,0.9887372851371765,169.6884765625,0.1686382293701172,Balanced
CNN,0.9896036387264457,0.9923505388460582,0.9896036387264457,0.9906709598637237,0.1469551548700661,0.9893248081207275,0.9882499575614929,143.49705338478088,0.5555238723754883,Balanced
LSTM,0.9874377301277886,0.991022445185265,0.9874377301277886,0.9889431632869249,0.3026778986631133,0.9863200187683105,0.9861923456192017,781.1427977085114,0.2762479782104492,Balanced
GRU,0.988249945852285,0.991195155646066,0.988249945852285,0.9893272260554901,0.246371609942077,0.988099992275238,0.985867440700531,595.8153665065765,0.23009872436523438,Balanced
