class,precision,recall,f1,support
DOS_SYN_Hping,1.0,1.0,1.0,14199
Thing_Speak,0.9892,0.9836,0.9864,1216
ARP_poisioning,0.9829,0.9871,0.985,1163
MQTT_Publish,0.9984,0.9952,0.9968,622
NMAP_UDP_SCAN,0.987,0.9743,0.9806,389
NMAP_XMAS_TREE_SCAN,1.0,0.9934,0.9967,301
NMAP_OS_DETECTION,1.0,1.0,1.0,300
NMAP_TCP_scan,1.0,1.0,1.0,150
DDOS_Slowloris,0.8953,0.9625,0.9277,80
Wipro_bulb,0.9268,1.0,0.962,38
Metasploit_Brute_Force_SSH,0.8571,1.0,0.9231,6
NMAP_FIN_SCAN,0.8,1.0,0.8889,4
