class,precision,recall,f1,support
DOS_SYN_Hping,1.0,1.0,1.0,14199
Thing_Speak,0.9926,0.9885,0.9905,1216
ARP_poisioning,0.9871,0.9888,0.988,1163
MQTT_Publish,0.9984,0.9952,0.9968,622
NMAP_UDP_SCAN,0.9819,0.9743,0.9781,389
NMAP_XMAS_TREE_SCAN,1.0,0.9934,0.9967,301
NMAP_OS_DETECTION,1.0,1.0,1.0,300
NMAP_TCP_scan,0.9934,1.0,0.9967,150
DDOS_Slowloris,0.9059,0.9625,0.9333,80
Wipro_bulb,0.9474,0.9474,0.9474,38
Metasploit_Brute_Force_SSH,0.75,1.0,0.8571,6
NMAP_FIN_SCAN,0.6667,1.0,0.8,4
