Model,Accuracy,Precision,Recall,F1_Score,Latency_ms,Train_Accuracy,Val_Accuracy,Training_Time_s,Model_Size_MB,Fit_Status
DNN,0.9897119341563786,0.9924095935247612,0.9897119341563786,0.9907571316461753,0.08849439771758393,0.9820725917816162,0.9865171909332275,124.04922199249268,0.1686382293701172,Balanced
CNN,0.9902534113060428,0.9922306054893248,0.9902534113060428,0.9909783307053378,0.11099488646895797,0.9885473847389221,0.9884123802185059,120.2396240234375,0.5555238723754883,Balanced
LSTM,0.9840805717998701,0.9877835602512361,0.9840805717998701,0.9854242699924306,0.2553830008396267,0.9561200141906738,0.9590643048286438,415.27984857559204,0.2762479782104492,Balanced
GRU,0.9885748321420836,0.9910220503098076,0.9885748321420836,0.9894462292349017,0.24800232692484683,0.9892399907112122,0.9878709316253662,588.6628768444061,0.23009872436523438,Balanced
