Model,Accuracy,Precision,Recall,F1_Score,Latency_ms,Train_Accuracy,Val_Accuracy,Training_Time_s,Model_Size_MB,Fit_Status
DNN,0.9891163092917479,0.992628689316742,0.9891163092917479,0.99050164182862,0.0931340842012567,0.9841148257255554,0.9881957769393921,120.0293447971344,0.1686382293701172,Balanced
CNN,0.9904158544509422,0.9928366016260058,0.9904158544509422,0.9913789533423917,0.09746548415314771,0.9902878999710083,0.9892246127128601,186.78845477104187,0.5555238723754883,Balanced
LSTM,0.945906432748538,0.9668885344139536,0.945906432748538,0.9542759406759564,0.30057745783365675,0.9490000009536743,0.9337773323059082,218.51923489570618,0.2762479782104492,Balanced
GRU,0.986733809833225,0.9914867967092577,0.986733809833225,0.988737843069509,0.23716752705234248,0.9872999787330627,0.9851635098457336,621.4740931987762,0.23009872436523438,Balanced
