class,precision,recall,f1,support
DOS_SYN_Hping,1.0,1.0,1.0,14199
Thing_Speak,0.976,0.9679,0.9719,1216
ARP_poisioning,0.9719,0.9518,0.9618,1163
MQTT_Publish,0.9936,0.9952,0.9944,622
NMAP_UDP_SCAN,0.964,0.964,0.964,389
NMAP_XMAS_TREE_SCAN,1.0,0.9934,0.9967,301
NMAP_OS_DETECTION,0.9868,0.9967,0.9917,300
NMAP_TCP_scan,1.0,1.0,1.0,150
DDOS_Slowloris,0.8941,0.95,0.9212,80
Wipro_bulb,0.7391,0.8947,0.8095,38
Metasploit_Brute_Force_SSH,0.3,1.0,0.4615,6
NMAP_FIN_SCAN,0.4444,1.0,0.6154,4
