Model,Accuracy,Precision,Recall,F1_Score,Latency_ms,Train_Accuracy,Val_Accuracy,Training_Time_s,Fit_Status
Random Forest,0.9968052848169807,0.9969466617787468,0.9968052848169807,0.9968442989691226,0.009205180224541955,0.99975,0.9964262508122157,2.5699963569641113,Balanced
Decision Tree,0.9952891487979207,0.9955256571496445,0.9952891487979207,0.9953598455967931,0.0005417606493392392,0.9987,0.9949642625081222,0.23999547958374023,Balanced
XGBoost,0.9976175005414771,0.9976591885789828,0.9976175005414771,0.9976287992334085,0.004873250969979111,0.999,0.9971301711067793,2.149998188018799,Balanced
LightGBM,0.997346761966645,0.9973948159596472,0.997346761966645,0.9973610779163289,0.037361913515371444,0.9998,0.9965345462421485,3.8699982166290283,Balanced
KNN,0.9937188650638943,0.9943197842648898,0.9937188650638943,0.993926728275863,0.09313401965215037,1.0,0.9937730127788608,0.009998321533203125,Balanced
SVM,0.9876001732726879,0.9918749098852175,0.9876001732726879,0.9892632673074054,0.8809679071444155,0.9643,0.9862464803985271,5.0604424476623535,Balanced
