class,precision,recall,f1,support
DOS_SYN_Hping,1.0,1.0,1.0,14199
Thing_Speak,0.9838,0.9498,0.9665,1216
ARP_poisioning,0.9631,0.9415,0.9522,1163
MQTT_Publish,1.0,0.9952,0.9976,622
NMAP_UDP_SCAN,0.9812,0.9409,0.9606,389
NMAP_XMAS_TREE_SCAN,0.9868,0.9934,0.9901,301
NMAP_OS_DETECTION,0.9863,0.9633,0.9747,300
NMAP_TCP_scan,0.9202,1.0,0.9585,150
DDOS_Slowloris,0.7383,0.9875,0.8449,80
Wipro_bulb,0.6364,0.9211,0.7527,38
Metasploit_Brute_Force_SSH,0.2069,1.0,0.3429,6
NMAP_FIN_SCAN,0.25,1.0,0.4,4
