Model,Accuracy,Precision,Recall,F1_Score,Latency_ms,Train_Accuracy,Val_Accuracy,Training_Time_s,Fit_Status
Random Forest,0.9974009096816114,0.9974486358294168,0.9974009096816114,0.9974094848570263,0.01786942602830556,0.99935,0.9966428416720814,5.211297988891602,Balanced
Decision Tree,0.9953974442278536,0.9956261938805693,0.9953974442278536,0.9954767008544348,0.0,1.0,0.99469352393329,0.2699902057647705,Balanced
XGBoost,0.99772579597141,0.997776167950545,0.99772579597141,0.9977369828866292,0.009746631038170861,0.99955,0.9967511371020142,4.658088684082031,Balanced
LightGBM,0.9968594325319472,0.9970071673733097,0.9968594325319472,0.996906511172744,0.03627911516668375,0.9956,0.9959930690924843,3.829360008239746,Balanced
KNN,0.994314489928525,0.9948543381934545,0.994314489928525,0.9944931979068146,0.08018518490839861,1.0,0.9935564219189951,0.0,Balanced
SVM,0.986733809833225,0.9902913378909701,0.986733809833225,0.9880180192262871,0.9064265910696616,0.9624,0.9862464803985271,5.051862001419067,Balanced
